"Início dos relatórios","Encerramento dos relatórios","Nome do anúncio","Veiculação de anúncio","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios",Alcance,Impressões,Resultados,"Indicador de resultados","Custo por resultados","Valor usado (BRL)","Valor de conversão da compra no site","Adições ao carrinho","Finalizações de compra iniciadas","Inclusões de informações de pagamento","ROAS (retorno sobre o investimento em publicidade) das compras","Cliques no link","Visualizações da página de destino do site",HOOKRATE,"CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","CTR de saída único","CPM (custo por 1.000 impressões) (BRL)","Custo por visualização da página de destino (BRL)","Custo por finalização de compra iniciada (BRL)","Custo por adição ao carrinho (BRL)","Salvamentos do post",Frequência,"Classificação de qualidade","Classificação da taxa de engajamento","Classificação da taxa de conversão","Reproduções do vídeo por no mínimo 3 segundos","Reproduções de 25% do vídeo","Reproduções de 50% do vídeo","Reproduções de 75% do vídeo"
2023-03-27,2026-04-27,VID2,not_delivering,"Usando orçamento da campanha",0,5,5,,,,0.05,,,,,,,,0.4,,,,10,,,,,1,–,–,–,2,1,,
2023-03-27,2026-04-27,IMG,not_delivering,"Usando orçamento da campanha",0,43,49,,,,1.14,,,,,,,,0,,,,23.265306,,,,,1.139535,–,–,–,,,,
2023-03-27,2026-04-27,[VID1],not_delivering,"Usando orçamento da campanha",0,175,183,,,,5.44,,,,,,2,1,0.18579235,2.72,1.092896,1.142857,29.726776,5.44,,,,1.045714,–,–,–,34,21,11,11
2023-03-27,2026-04-27,[VID2],not_delivering,"Usando orçamento da campanha",0,149,159,,,,3.06,,,,,,,,0.36477987,,,,19.245283,,,,,1.067114,–,–,–,58,37,14,11
2023-03-27,2026-04-27,[IMG],not_delivering,"Usando orçamento da campanha",0,185,195,,,,5.34,,,,,,2,3,0,2.67,1.025641,1.081081,27.384615,1.78,,,,1.054054,–,–,–,,,,
2023-03-27,2026-04-27,[IMG],not_delivering,"Usando orçamento da campanha",0,294,311,,,,9.25,,,,,,1,1,0,9.25,0.321543,0.340136,29.742765,9.25,,,2,1.057823,–,–,–,,,,
2023-03-27,2026-04-27,[VID1],not_delivering,"Usando orçamento da campanha",0,228,233,,,,7.6,,,,,,4,3,0.20171674,1.9,1.716738,1.754386,32.618026,2.533333,,,,1.02193,–,–,–,47,22,14,16
2023-03-27,2026-04-27,[VID1],not_delivering,"Usando orçamento da campanha",0,33,34,,,,0.73,,,,,,,,0.17647059,,,,21.470588,,,,,1.030303,–,–,–,6,2,2,3
2023-03-27,2026-04-27,[VID2],not_delivering,"Usando orçamento da campanha",0,97,103,,,,1.91,,,,,,2,2,0.33009709,0.955,1.941748,2.061856,18.543689,0.955,,,,1.061856,–,–,–,34,26,12,8
2023-03-27,2026-04-27,[VID2],not_delivering,"Usando orçamento da campanha",0,97,99,,,,1.64,,,,,,,,0.38383838,,,,16.565657,,,,,1.020619,–,–,–,38,28,12,10
2023-03-27,2026-04-27,[IMG],not_delivering,"Usando orçamento da campanha",0,167,181,,,,5.31,,,,,,3,5,0,1.77,1.657459,1.796407,29.337017,1.062,,,,1.083832,–,–,–,,,,
2023-03-27,2026-04-27,[TTK4],not_delivering,"Usando orçamento da campanha",0,4426,4446,,,,55.33,,,,,,28,28,0.13765182,1.976071,0.62978,0.632625,12.444894,1.976071,,,2,1.004519,–,–,–,612,450,259,158
2023-03-27,2026-04-27,[VID],inactive,"Usando orçamento da campanha",0,78217,91014,30,actions:offsite_conversion.fb_pixel_purchase,40.15933333,1204.78,4826.02,197,61,47,4.005727,743,756,0.37250313,1.621507,0.816358,0.920516,13.237304,1.593624,19.750492,6.115635,137,1.163609,–,–,–,33903,12100,5523,2730
2023-03-27,2026-04-27,[TTK3],not_delivering,"Usando orçamento da campanha",0,50029,62239,17,actions:offsite_conversion.fb_pixel_purchase,43.98705882,747.78,2908.76,135,31,26,3.889861,445,442,0.16320956,1.680404,0.714986,0.813528,12.014653,1.69181,24.121935,5.539111,19,1.244058,–,–,–,10158,7066,3512,2111
2023-03-27,2026-04-27,[VID],not_delivering,"Usando orçamento da campanha",0,38797,43965,10,actions:offsite_conversion.fb_pixel_purchase,48.283,482.83,1362.24,80,26,21,2.821366,261,269,0.3332651,1.849923,0.593654,0.657267,10.982145,1.794907,18.570385,6.035375,52,1.133206,–,–,–,14652,5161,2402,1182
2023-03-27,2026-04-27,[VID],not_delivering,"Usando orçamento da campanha",0,80993,94953,28,actions:offsite_conversion.fb_pixel_purchase,42.51107143,1190.31,3910.81,163,55,38,3.285539,727,768,0.37610186,1.63729,0.765642,0.8902,12.535781,1.549883,21.642,7.302515,132,1.172361,–,–,–,35712,12621,5846,2895
2023-03-27,2026-04-27,img1,not_delivering,6,Diário,441,486,,,,14.16,,1,,,,4,4,0,3.54,0.823045,0.907029,29.135802,3.54,,14.16,1,1.102041,–,–,–,,,,
2023-03-27,2026-04-27,VID2,not_delivering,6,Diário,308,336,,,,14.01,,,,,,5,4,0.24107143,2.802,1.488095,1.623377,41.696429,3.5025,,,,1.090909,–,–,–,81,26,11,6
2023-03-27,2026-04-27,img2,not_delivering,6,Diário,353,404,,,,14.11,,,,,,7,7,0,2.015714,1.732673,1.983003,34.925743,2.015714,,,,1.144476,–,–,–,,,,
2023-03-27,2026-04-27,VID1,not_delivering,6,Diário,265,287,,,,14.5,,,,,,2,2,0.43902439,7.25,0.696864,0.754717,50.522648,7.25,,,,1.083019,–,–,–,126,42,30,24
2023-03-27,2026-04-27,[VID][10%OFF],not_delivering,10,Diário,264,307,,,,8.01,,,,,,,,0.15960912,,,,26.091205,,,,,1.162879,–,–,–,49,115,58,38
2023-03-27,2026-04-27,[VID],not_delivering,"Usando orçamento da campanha",0,926,926,,,,18.78,,,,,,5,3,0.34989201,3.756,0.539957,0.539957,20.280778,6.26,,,3,1,–,–,–,324,129,55,31
2023-03-27,2026-04-27,[TTK4],not_delivering,"Usando orçamento da campanha",0,212,218,,,,3.49,,,,,,2,3,0.11926606,1.745,0.917431,0.943396,16.009174,1.163333,,,,1.028302,–,–,–,26,20,7,7
2023-03-27,2026-04-27,[TTK3],not_delivering,"Usando orçamento da campanha",0,354,354,,,,3.5,,,,,,2,2,0.20056497,1.75,0.564972,0.564972,9.887006,1.75,,,,1,–,–,–,71,45,27,13
2023-03-27,2026-04-27,[VID],not_delivering,"Usando orçamento da campanha",0,121,121,,,,1.41,,,,,,1,1,0.36363636,1.41,0.826446,0.826446,11.652893,1.41,,,,1,–,–,–,44,12,5,2
2023-03-27,2026-04-27,[VID],not_delivering,"Usando orçamento da campanha",0,363,363,,,,4.83,,,,,,1,1,0.3415978,4.83,0.275482,0.275482,13.305785,4.83,,,,1,–,–,–,124,38,17,12
2023-03-27,2026-04-27,[IMG][129],not_delivering,10,Diário,1416,2096,1,actions:offsite_conversion.fb_pixel_purchase,48.71,48.71,209.8,3,3,2,4.307124,16,13,0.00524809,3.044375,0.763359,0.847458,23.239504,3.746923,16.236667,16.236667,2,1.480226,–,–,–,11,17,10,7
2023-03-27,2026-04-27,TTK4,not_delivering,"Usando orçamento da campanha",0,16,16,,,,0.18,,,,,,,,0.125,,,,11.25,,,,,1,–,–,–,2,2,,
2023-03-27,2026-04-27,TTK4,not_delivering,"Usando orçamento da campanha",0,281,294,,,,10.74,,,,,,2,2,0.23469388,5.37,0.680272,0.711744,36.530612,5.37,,,,1.046263,–,–,–,69,49,27,17
2023-03-27,2026-04-27,TTK4,not_delivering,"Usando orçamento da campanha",0,481,510,,,,21.66,,1,1,2,,7,5,0.21960784,3.094286,1.372549,1.455301,42.470588,4.332,21.66,21.66,1,1.060291,–,–,–,112,84,54,28
2023-03-27,2026-04-27,TTK4,not_delivering,"Usando orçamento da campanha",0,94,102,,,,3.62,,,,,,,,0.23529412,,,,35.490196,,,,,1.085106,–,–,–,24,18,8,6
2023-03-27,2026-04-27,TTK4,not_delivering,"Usando orçamento da campanha",0,12,12,,,,0.15,,,,,,,,0.08333333,,,,12.5,,,,,1,–,–,–,1,,,
2023-03-27,2026-04-27,[VID129],not_delivering,"Usando orçamento da campanha",0,2741,3158,1,actions:offsite_conversion.fb_pixel_purchase,43.45,43.45,129.9,1,1,1,2.989643,30,35,0.2020266,1.448333,0.949968,1.094491,13.758708,1.241429,43.45,43.45,2,1.152134,–,–,–,638,202,143,75
2023-03-27,2026-04-27,[VID129],not_delivering,"Usando orçamento da campanha",0,5122,5443,1,actions:offsite_conversion.fb_pixel_purchase,87.95,87.95,135.83,7,4,3,1.5444,48,49,0.1927246,1.832292,0.881867,0.91761,16.158369,1.794898,21.9875,12.564286,3,1.062671,–,–,–,1049,304,238,138
2023-03-27,2026-04-27,[VID129],not_delivering,"Usando orçamento da campanha",0,947,1050,,,,26.87,,,,,,9,9,0.25238095,2.985556,0.857143,0.95037,25.590476,2.985556,,,1,1.108765,–,–,–,265,85,65,39
